Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-23 00:00:00-05:00,203.50004337850964,204.79271612955355,200.80858207029695,202.68971252441406,25683500,0.0,0.0
2020-11-24 00:00:00-05:00,202.18806252380884,206.68349230699746,201.48384751173435,206.30726623535156,33979700,0.0,0.0
2020-11-25 00:00:00-05:00,207.51315363887042,207.68678967474642,204.95674720019755,206.3169403076172,21012900,0.0,0.0
2020-11-27 00:00:00-05:00,207.2622906915674,208.63213972537022,206.48088456054123,207.6288604736328,14512200,0.0,0.0
2020-11-30 00:00:00-05:00,206.53882703446155,207.17550721564854,203.39394812779054,206.5098876953125,33064800,0.0,0.0
2020-12-01 00:00:00-05:00,206.93432077523863,209.64509467214577,205.81529873199955,208.5742950439453,30904500,0.0,0.0
2020-12-02 00:00:00-05:00,207.29126088912773,207.86042080174042,205.2847168067867,207.76394653320312,23724500,0.0,0.0
2020-12-03 00:00:00-05:00,207.03080221649537,208.7382967573464,206.10469924114523,206.6738739013672,25120900,0.0,0.0
2020-12-04 00:00:00-05:00,206.65457192734252,207.77360870664114,205.65129249765855,206.7896270751953,24666000,0.0,0.0
2020-12-07 00:00:00-05:00,206.79926814767597,207.92794646359303,205.46801447039047,206.7220916748047,24620000,0.0,0.0
2020-12-08 00:00:00-05:00,206.41338401610594,209.28813748138452,205.3715237954218,208.38133239746094,23284100,0.0,0.0
2020-12-09 00:00:00-05:00,207.56137609469448,207.6288963083449,203.75087791569962,204.32003784179688,32440600,0.0,0.0
2020-12-10 00:00:00-05:00,204.2910596344412,205.55479285427592,202.9308521621395,203.085205078125,26733300,0.0,0.0
2020-12-11 00:00:00-05:00,202.63184297396953,205.7863632435943,201.72503781169945,205.7284698486328,30979400,0.0,0.0
2020-12-14 00:00:00-05:00,205.57412580594706,208.57429304394526,205.36189419014732,206.63526916503906,28798400,0.0,0.0
2020-12-15 00:00:00-05:00,207.57104437525308,207.8122153634736,204.7445274588648,206.56777954101562,27000600,0.0,0.0
